query,zone,source,latency,timestamp
q1_count,Z5,generator,12.342805999651318,2026-04-16 22:04:18.113629
q5_confidence_dist,Z5,generator,6.944089000171516,2026-04-16 22:04:18.223479
q2_area,Z3,generator,5.172740000489284,2026-04-16 22:04:18.331166
q2_area,Z2,generator,4.667949999202392,2026-04-16 22:04:18.438050
q3_density,Z4,generator,4.943891000948497,2026-04-16 22:04:18.545401
q1_count,Z1,generator,4.59324499934155,2026-04-16 22:04:18.652436
q3_density,Z2,generator,4.493919999731588,2026-04-16 22:04:18.759345
q2_area,Z4,generator,4.881550999925821,2026-04-16 22:04:18.866654
q2_area,Z5,generator,4.535825999482768,2026-04-16 22:04:18.973584
q1_count,Z3,generator,4.57432199982577,2026-04-16 22:04:19.080604
q5_confidence_dist,Z4,generator,4.681383999923128,2026-04-16 22:04:19.187566
q3_density,Z1,generator,4.196070000034524,2026-04-16 22:04:19.294050
q4_compare,Z2,generator,7.414089999656426,2026-04-16 22:04:19.403832
q1_count,Z5,generator,5.137096999533242,2026-04-16 22:04:19.511392
q3_density,Z2,generator,4.835621000893298,2026-04-16 22:04:19.618493
q4_compare,Z2,generator,6.410977000996354,2026-04-16 22:04:19.727654
q3_density,Z2,generator,4.8188709988608025,2026-04-16 22:04:19.835143
q3_density,Z3,generator,4.485602999920957,2026-04-16 22:04:19.941563
q5_confidence_dist,Z2,generator,4.862693000177387,2026-04-16 22:04:20.048390
q4_compare,Z2,generator,6.581489999007317,2026-04-16 22:04:20.157142
q5_confidence_dist,Z3,generator,5.71155100078613,2026-04-16 22:04:20.265124
q3_density,Z3,generator,4.252822000125889,2026-04-16 22:04:20.371636
q5_confidence_dist,Z3,cache,2.8646189985011006,2026-04-16 22:04:20.476705
q2_area,Z4,generator,4.594402000293485,2026-04-16 22:04:20.583558
q3_density,Z4,generator,4.0418550015601795,2026-04-16 22:04:20.689633
q4_compare,Z5,generator,6.4382839991594665,2026-04-16 22:04:20.798828
q5_confidence_dist,Z5,cache,2.117493000696413,2026-04-16 22:04:20.903053
q5_confidence_dist,Z2,cache,2.9743989998678444,2026-04-16 22:04:21.008633
q5_confidence_dist,Z1,generator,4.941340999721433,2026-04-16 22:04:21.116167
q1_count,Z2,generator,3.97144499947899,2026-04-16 22:04:21.222310
q1_count,Z5,generator,4.240825999659137,2026-04-16 22:04:21.328840
q4_compare,Z2,cache,2.783350000754581,2026-04-16 22:04:21.433753
q2_area,Z1,generator,4.391304000819218,2026-04-16 22:04:21.540366
q5_confidence_dist,Z4,cache,2.7086310001323,2026-04-16 22:04:21.645245
q5_confidence_dist,Z3,cache,2.751751999312546,2026-04-16 22:04:21.750074
q4_compare,Z1,generator,5.576782999924035,2026-04-16 22:04:21.857932
q4_compare,Z3,generator,5.676937998941867,2026-04-16 22:04:21.965875
q1_count,Z5,generator,4.695286999776727,2026-04-16 22:04:22.072673
q1_count,Z5,generator,4.694571000072756,2026-04-16 22:04:22.179682
q1_count,Z2,generator,3.8366600001609186,2026-04-16 22:04:22.285590
q3_density,Z1,generator,4.356281000582385,2026-04-16 22:04:22.391989
q1_count,Z5,cache,2.7960389998042956,2026-04-16 22:04:22.497215
q1_count,Z2,generator,4.509096999754547,2026-04-16 22:04:22.604046
q2_area,Z5,generator,4.662691000703489,2026-04-16 22:04:22.710920
q2_area,Z1,cache,2.795660000629141,2026-04-16 22:04:22.815919
q1_count,Z2,generator,3.9555929997732164,2026-04-16 22:04:22.922221
q1_count,Z3,cache,2.8964130015083356,2026-04-16 22:04:23.027325
q4_compare,Z5,generator,5.754531999627943,2026-04-16 22:04:23.135105
q3_density,Z2,generator,5.218592999881366,2026-04-16 22:04:23.242707
q3_density,Z1,generator,3.737651999472291,2026-04-16 22:04:23.348727
q1_count,Z5,cache,2.6441610007168492,2026-04-16 22:04:23.453610
q1_count,Z2,cache,2.5196110000251792,2026-04-16 22:04:23.558431
q5_confidence_dist,Z5,cache,2.9490819997590734,2026-04-16 22:04:23.663629
q2_area,Z3,generator,5.295171000398113,2026-04-16 22:04:23.771309
q4_compare,Z3,generator,5.659102000208804,2026-04-16 22:04:23.879125
q1_count,Z4,generator,4.169354000623571,2026-04-16 22:04:23.985924
q1_count,Z1,generator,4.668962999858195,2026-04-16 22:04:24.093001
q3_density,Z3,generator,5.037352000726969,2026-04-16 22:04:24.200464
q4_compare,Z2,generator,6.277141999817104,2026-04-16 22:04:24.309173
q4_compare,Z3,generator,6.145180001112749,2026-04-16 22:04:24.417949
q5_confidence_dist,Z1,cache,2.8410769991751295,2026-04-16 22:04:24.522926
q2_area,Z4,generator,4.0623710010549985,2026-04-16 22:04:24.629246
q1_count,Z1,generator,4.385804999401444,2026-04-16 22:04:24.735957
q3_density,Z3,cache,2.79487700026948,2026-04-16 22:04:24.840939
q4_compare,Z3,generator,5.492684000273584,2026-04-16 22:04:24.948575
q4_compare,Z5,generator,5.7612849996075965,2026-04-16 22:04:25.056527
q1_count,Z5,cache,2.789660000416916,2026-04-16 22:04:25.163140
q5_confidence_dist,Z2,cache,2.895693000027677,2026-04-16 22:04:25.268190
q1_count,Z4,generator,4.384370000479976,2026-04-16 22:04:25.374656
q2_area,Z2,generator,4.1184839992638445,2026-04-16 22:04:25.480973
q2_area,Z5,generator,3.623233000325854,2026-04-16 22:04:25.586831
q3_density,Z3,cache,2.717059000133304,2026-04-16 22:04:25.691614
q1_count,Z2,generator,4.326237998611759,2026-04-16 22:04:25.797940
q1_count,Z5,generator,5.3501909987971885,2026-04-16 22:04:25.905986
q3_density,Z1,cache,2.918341000622604,2026-04-16 22:04:26.011454
q3_density,Z1,generator,4.246253998644534,2026-04-16 22:04:26.117806
q3_density,Z3,cache,2.870528998755617,2026-04-16 22:04:26.222793
q3_density,Z4,generator,3.7328839989640983,2026-04-16 22:04:26.329020
q4_compare,Z3,generator,5.738949999795295,2026-04-16 22:04:26.437278
q5_confidence_dist,Z1,cache,2.822297999955481,2026-04-16 22:04:26.542581
q4_compare,Z5,generator,5.214960998273455,2026-04-16 22:04:26.649902
q5_confidence_dist,Z3,cache,2.5335950012959074,2026-04-16 22:04:26.754617
q4_compare,Z1,generator,6.240008000531816,2026-04-16 22:04:26.863162
q5_confidence_dist,Z2,cache,2.593358000012813,2026-04-16 22:04:26.967928
q2_area,Z2,generator,4.044494000481791,2026-04-16 22:04:27.073948
q3_density,Z4,generator,3.847203000987065,2026-04-16 22:04:27.179821
q3_density,Z3,generator,4.274089998943964,2026-04-16 22:04:27.286017
q3_density,Z5,generator,3.746059999684803,2026-04-16 22:04:27.391791
q5_confidence_dist,Z2,cache,2.0208340010867687,2026-04-16 22:04:27.495860
q5_confidence_dist,Z3,cache,2.1142530003999127,2026-04-16 22:04:27.599969
q3_density,Z1,cache,2.0378389999677893,2026-04-16 22:04:27.703959
q4_compare,Z1,generator,5.62091499887174,2026-04-16 22:04:27.811570
q5_confidence_dist,Z4,cache,2.152692999516148,2026-04-16 22:04:27.915622
q5_confidence_dist,Z1,cache,2.0999540010961937,2026-04-16 22:04:28.019520
q3_density,Z4,cache,2.040673000010429,2026-04-16 22:04:28.123244
q2_area,Z5,generator,4.41234099889698,2026-04-16 22:04:28.229472
q5_confidence_dist,Z3,cache,2.11100699925737,2026-04-16 22:04:28.333598
q5_confidence_dist,Z4,cache,2.1386129992606584,2026-04-16 22:04:28.437642
q1_count,Z2,cache,2.1169770006963518,2026-04-16 22:04:28.541737
q2_area,Z5,cache,1.925537000715849,2026-04-16 22:04:28.645331
q2_area,Z3,generator,4.468095999982324,2026-04-16 22:04:28.751597
q5_confidence_dist,Z4,cache,1.8760949988063658,2026-04-16 22:04:28.855111
q5_confidence_dist,Z3,cache,2.10780100132979,2026-04-16 22:04:28.959369
q3_density,Z2,cache,2.194366999901831,2026-04-16 22:04:29.063201
q4_compare,Z2,generator,6.191950998982065,2026-04-16 22:04:29.171451
q1_count,Z5,cache,2.18526300159283,2026-04-16 22:04:29.275786
q5_confidence_dist,Z5,cache,2.7131130009365734,2026-04-16 22:04:29.380794
q3_density,Z4,cache,2.535252999223303,2026-04-16 22:04:29.485724
